Timestamp,FromLocalUdpPort53IP192.168.1.1Packet,FromLocalUdpPort53IP192.168.1.1Byte,FromLocalUdpPort67IP192.168.1.1Packet,FromLocalUdpPort67IP192.168.1.1Byte,FromLocalArpPortAllPacket,FromLocalArpPortAllByte,ToLocalUdpPort53IP192.168.1.1Packet,ToLocalUdpPort53IP192.168.1.1Byte,ToLocalArpPortAllPacket,ToLocalArpPortAllByte, NoOfFlows,Label
1527769958037,0,0,0,0,2,84,0,0,2,84,34,0
1528584904283,0,0,0,0,2,84,0,0,2,84,36,0
1527647554607,0,0,0,0,3,162,0,0,3,126,43,0
1527733860347,0,0,0,0,2,84,0,0,4,168,49,0
1538312232401,0,0,0,0,0,0,0,0,0,0,26,0
1539349644151,0,0,0,0,0,0,0,0,0,0,26,0
1539163002438,0,0,0,0,2,84,0,0,3,126,55,0
1540345736818,0,0,0,0,0,0,0,0,0,0,64,0
1538607524761,0,0,0,0,0,0,0,0,0,0,53,0
1531265760217,0,0,0,0,0,0,0,0,0,0,31,0
1528554765197,1,529,0,0,0,0,1,75,0,0,29,0
1539995416421,0,0,0,0,0,0,0,0,0,0,24,0
1531048354854,0,0,0,0,0,0,0,0,0,0,59,0
1528803214817,0,0,0,0,0,0,0,0,0,0,43,0
1528422918793,0,0,0,0,1,42,0,0,1,42,36,0
1528737203171,4,819,0,0,1,42,4,306,1,42,47,0
1528753179043,0,0,0,0,0,0,0,0,0,0,27,0
1530128737025,0,0,0,0,0,0,0,0,0,0,22,0
1538690053004,0,0,0,0,0,0,0,0,0,0,67,0
1539225123514,0,0,0,0,0,0,0,0,0,0,63,0
1530777598215,0,0,0,0,1,42,0,0,1,42,43,0
1530978690717,5,910,0,0,0,0,5,381,0,0,47,0
1528273600648,0,0,0,0,0,0,0,0,0,0,30,0
1529951572706,0,0,0,0,2,120,0,0,2,84,43,0
1529720960637,0,0,0,0,0,0,0,0,0,0,22,0
1530319006726,0,0,0,0,0,0,0,0,0,0,29,0
1538635221298,0,0,0,0,0,0,0,0,0,0,48,0
1527620102821,1,545,0,0,1,42,1,80,1,42,31,0
1529742582393,6,994,0,0,1,42,6,449,1,42,47,0
1538482472014,0,0,0,0,1,42,0,0,1,60,48,0
1538513234205,0,0,0,0,0,0,0,0,0,0,62,0
1538144034412,0,0,0,0,0,0,0,0,0,0,24,0
1530116547685,0,0,0,0,0,0,0,0,0,0,29,0
1529180510104,5,910,0,0,1,42,5,381,1,42,49,0
1539138015857,0,0,0,0,0,0,0,0,0,0,50,0
1530310177936,0,0,0,0,0,0,0,0,0,0,29,0
1540054991044,0,0,0,0,1,42,0,0,1,60,48,0
1538967270235,0,0,0,0,0,0,0,0,0,0,60,0
1531045712427,0,0,0,0,0,0,0,0,0,0,59,0
1529692489487,6,1307,0,0,1,42,6,449,2,84,47,0
1530942046357,0,0,0,0,0,0,0,0,0,0,22,0
1539849211968,0,0,0,0,1,42,0,0,1,42,58,0
1530788712963,0,0,0,0,0,0,0,0,0,0,22,0
1527635659029,0,0,0,0,0,0,0,0,0,0,29,0
1529230531739,0,0,0,0,0,0,0,0,1,42,59,0
1529336709623,6,994,0,0,1,42,6,449,1,42,47,0
1540522349007,0,0,0,0,0,0,0,0,0,0,56,0
1528091822040,0,0,0,0,0,0,0,0,0,0,31,0
1531414278545,0,0,0,0,0,0,0,0,0,0,22,0
1540354024706,0,0,0,0,0,0,0,0,1,42,57,0
1530331020387,0,0,0,0,1,42,0,0,1,42,43,0
1538148177704,0,0,0,0,1,42,0,0,1,60,46,0
1528542807583,0,0,0,0,1,42,0,0,1,42,59,0
1527975553503,0,0,0,0,0,0,0,0,0,0,43,0
1531564600637,0,0,0,0,0,0,0,0,0,0,43,0
1539845308761,0,0,0,0,0,0,0,0,0,0,26,0
1538299733094,1,495,0,0,0,0,1,76,0,0,44,0
1531114644411,6,1137,0,0,0,0,5,381,0,0,47,0
1529125616645,0,0,0,0,0,0,0,0,0,0,59,0
1538840646844,0,0,0,0,1,42,0,0,1,42,63,0
1529282373006,0,0,0,0,0,0,0,0,0,0,22,0
1528188331524,0,0,0,0,1,42,0,0,1,42,59,0
1538167273962,0,0,0,0,0,0,0,0,0,0,22,0
1539935651307,0,0,0,0,1,42,0,0,1,60,46,0
1527757583977,0,0,0,0,1,42,0,0,1,42,59,0
1538609868174,0,0,0,0,1,42,0,0,1,60,48,0
1539439256866,1,493,0,0,0,0,1,79,0,0,68,0
1528550979269,0,0,0,0,1,42,0,0,1,42,33,0
1539521859116,0,0,0,0,0,0,0,0,1,42,59,0
1528972647671,0,0,0,0,0,0,0,0,0,0,22,0
1530697843471,0,0,0,0,0,0,0,0,0,0,22,0
1539200066598,0,0,0,0,1,42,0,0,1,60,48,0
1531775570466,5,903,0,0,0,0,5,374,0,0,47,0
1539363640007,0,0,0,0,0,0,0,0,0,0,26,0
1528950961376,0,0,0,0,1,42,0,0,1,42,59,0
1527891150044,0,0,0,0,1,42,0,0,1,42,35,0
1539027981954,0,0,0,0,0,0,0,0,0,0,48,0
1528423999476,0,0,0,0,1,42,0,0,1,42,59,0
1531518712762,0,0,0,0,0,0,0,0,0,0,22,0
1528303987605,5,903,0,0,1,42,5,374,1,42,49,0
1531128453676,0,0,0,0,1,42,0,0,1,42,43,0
1528599675448,0,0,0,0,1,42,0,0,1,42,43,0
1529570757056,0,0,0,0,0,0,0,0,0,0,29,0
1528375234850,0,0,0,0,0,0,0,0,0,0,31,0
1527697527692,0,0,0,0,1,42,0,0,1,42,59,0
