Timestamp,FromLocalUdpPort53IP192.168.1.1Packet,FromLocalUdpPort53IP192.168.1.1Byte,FromLocalUdpPort67IP192.168.1.1Packet,FromLocalUdpPort67IP192.168.1.1Byte,FromLocalArpPortAllPacket,FromLocalArpPortAllByte,ToLocalUdpPort53IP192.168.1.1Packet,ToLocalUdpPort53IP192.168.1.1Byte,ToLocalArpPortAllPacket,ToLocalArpPortAllByte, NoOfFlows,Label
1529996013454,0,0,0,0,0,0,0,0,0,0,22,0
1528460990579,0,0,0,0,0,0,0,0,0,0,31,0
1529413944371,0,0,0,0,0,0,0,0,0,0,29,0
1538779750274,0,0,0,0,0,0,0,0,0,0,60,0
1528474144783,0,0,0,0,1,42,0,0,1,42,47,0
1529191679184,0,0,0,0,0,0,0,0,0,0,29,0
1530796403334,0,0,0,0,0,0,0,0,0,0,59,0
1528260931124,0,0,0,0,1,42,0,0,1,42,59,0
1531033402327,0,0,0,0,2,120,0,0,2,84,43,0
1528720208022,0,0,0,0,1,42,0,0,1,42,59,0
1528857753509,0,0,0,0,1,42,0,0,1,42,59,0
1528543949267,0,0,0,0,1,42,0,0,1,42,59,0
1530297806232,0,0,0,0,1,42,0,0,1,42,43,0
1528927837392,0,0,0,0,0,0,0,0,0,0,30,0
1530155403723,0,0,0,0,0,0,0,0,0,0,59,0
1531559133492,0,0,0,0,0,0,0,0,0,0,22,0
1539921109738,0,0,0,0,2,84,0,0,2,120,48,0
1530190786276,6,994,0,0,0,0,6,449,0,0,47,0
1529889067765,0,0,0,0,0,0,0,0,0,0,22,0
1539178260097,1,495,0,0,1,42,1,76,1,60,46,0
1539389640815,0,0,0,0,0,0,0,0,0,0,28,0
1528471621792,0,0,0,0,1,42,0,0,1,42,59,0
1529642883908,6,994,0,0,1,42,6,449,1,42,47,0
1530619402438,0,0,0,0,1,42,0,0,1,42,43,0
1529574600679,0,0,0,0,0,0,0,0,0,0,22,0
1529149526097,0,0,0,0,0,0,0,0,0,0,59,0
